departamento,municipio,n_edificios,area_construida_km2
Tolima,Planadas,5463,0.4537698572540283
Cundinamarca,Tena,3662,0.45280851000959854
Tolima,Icononzo,4848,0.45210251972886584
Cundinamarca,Cucunubá,4904,0.45173656442215193
Antioquia,Anorí,6184,0.45121029688692094
Tolima,Piedras,3480,0.4511623060583649
Antioquia,Dabeiba,6171,0.44720270299243925
Caldas,Risaralda,4546,0.4457676133797279
Antioquia,Guatapé,4352,0.43881594719146877
Cundinamarca,Quetame,4790,0.438527314290715
Valle del Cauca,Obando,3069,0.4295913354007755
Cundinamarca,Yacopí,6971,0.4294255047521591
Tolima,Ataco,4459,0.4159962367455925
Risaralda,Apía,4721,0.4154683454311546
Caldas,Aranzazú,4017,0.4143213510138992
Cundinamarca,Carmen de Carupa,5379,0.4138946211647293
Huila,Iquira,4756,0.40924309678871684
Cundinamarca,Une,4481,0.4080491776737324
Antioquia,Betania,4243,0.40802631186954114
Antioquia,Venecia,2902,0.40644638232007146
Antioquia,Liborina,5200,0.4060478236704067
Valle del Cauca,Trujillo,3836,0.40464684152885516
Antioquia,Valdivia,5188,0.40008375381999434
Huila,Teruel,3617,0.3974651696367783
Cundinamarca,La Palma,4212,0.3919267813477516
Valle del Cauca,Versalles,3542,0.3899734102890892
Caldas,Marquetalia,5071,0.38966795146656036
Cauca,Jambaló,5552,0.38825550577688217
Antioquia,Valparaíso,3277,0.3881718287193139
Valle del Cauca,El Águila,4728,0.383007895935297
Cundinamarca,Quipile,4442,0.37658674831417616
Tolima,Prado,4051,0.3760765386555195
Caldas,Pácora,4531,0.3689748625979424
Boyacá,Pauna,6149,0.3683195933977661
Valle del Cauca,El Cairo,3951,0.36816699370038686
Risaralda,Guática,4174,0.3537164854765533
Valle del Cauca,Ulloa,2754,0.35218310652877505
Cundinamarca,Pasca,3230,0.35126509499531244
Antioquia,Campamento,4024,0.35096076097074047
Cundinamarca,Nocaima,3039,0.3487744664177895
Caldas,Belalcázar,3609,0.3466119435186386
Antioquia,Tarazá,4947,0.34487169822216035
Antioquia,Heliconia,3725,0.3402397741159805
Cundinamarca,Quebradanegra,3047,0.33711483690480654
Boyacá,Muzo,4274,0.331551486748119
Cundinamarca,La Peña,3098,0.3309404255871773
Tolima,Ambalema,2472,0.3282435976965881
Antioquia,Pueblorrico,3314,0.3279196296390579
Cauca,Timbiquí,3742,0.3218909974982063
Antioquia,San Andrés de Cuerquia,4187,0.3208372314252456
Antioquia,Cisneros,2587,0.31787784300790944
Antioquia,Toledo,3724,0.31752534678889693
Risaralda,Balboa,2872,0.3153360146346001
Cundinamarca,Vianí,3789,0.31448046375312805
Antioquia,Montebello,3291,0.3134039242243767
Cundinamarca,Guayabal de Síquima,2459,0.31269083223214106
Cundinamarca,Guayabetal,3272,0.3103215928486046
Risaralda,Mistrató,3916,0.31006585991816177
Tolima,Cunday,3037,0.3092140591707176
Cauca,Timbío,3572,0.303748445798901
Cundinamarca,Granada,2664,0.3032210164241592
Antioquia,La Pintada,2203,0.3030589167966323
Cauca,Padilla,2486,0.2985975462515617
Cundinamarca,Sutatausa,3567,0.2976278268473148
Tolima,Anzoátegui,4143,0.2936670880322456
Santander,Bolívar,3041,0.29316974162435533
Chocó,Bahía Solano,2976,0.29247896302299575
Antioquia,Guadalupe,3563,0.2883421092783882
Santander,Sucre,4194,0.2864016315792748
Tolima,Valle de San Juan,3013,0.28331991459560396
Cundinamarca,Chaguaní,3827,0.2809653440833092
Boyacá,Quípama,4293,0.28080841725206374
Boyacá,Otanche,4426,0.27930875162553787
Tolima,Falán,2728,0.27682441473674774
Risaralda,La Celia,3546,0.27627034582783283
Cundinamarca,El Peñon,3430,0.2762464911904335
Huila,Nátaga,3809,0.2727178183250427
Antioquia,Anzá,4363,0.27182294226646425
Santander,La Belleza,3175,0.2694695113085495
Antioquia,Angelópolis,2533,0.2694107699236687
Antioquia,Sabanalarga,4560,0.2665194613237381
Cundinamarca,Junín,3596,0.2663420618317474
Antioquia,Caramanta,2476,0.26391232741510773
Antioquia,Argelia,3188,0.25526547379398346
Antioquia,Alejandría,3212,0.25520122952385405
Antioquia,Carolina del Principe,1848,0.2539796168050819
Cundinamarca,Zipacón,2184,0.25387541943223724
Santander,Florián,3590,0.2538633011838135
Valle del Cauca,Bolívar,1799,0.2532425075080673
Cundinamarca,San Cayetano,2683,0.2510384886696495
Boyacá,Maripí,3349,0.2503797771678238
Cundinamarca,Vergara,2983,0.2473625753312111
Antioquia,San Francisco,3300,0.24607371196317673
Boyacá,San Pablo de Borbur,4103,0.24473062678813934
Chocó,El Carmen de Atrato,2478,0.2427760365224701
Cundinamarca,Útica,1794,0.24072058848285674
Antioquia,Nariño,2753,0.23993378675174712
Tolima,Suárez,2279,0.23885079651028365
Tolima,Palo Cabildo,2589,0.23797999940681458
Antioquia,Caicedo,4153,0.23762772889200362
Valle del Cauca,Argelia,2465,0.22979480345891037
Boyacá,San Miguel de Sema,2550,0.22939444282562102
Antioquia,Concepción,2306,0.22813180525016785
Antioquia,Yalí,2366,0.22747605731791765
Antioquia,Hispania,1931,0.22738478457974473
Tolima,Alpujarra,2338,0.22612050621051635
Quindío,Pijao,1917,0.22501244695454484
Caldas,San José,2401,0.2230293980207443
Antioquia,Buriticá,2863,0.22166766225600243
Antioquia,Uramita,2827,0.22108496442365647
Quindío,Génova,1691,0.21839529715208206
Caldas,La Merced,2922,0.2167868469525589
Tolima,Villahermosa,2667,0.21435353335445634
Tolima,Herveo,2309,0.21431925063457793
Antioquia,Armenia,2490,0.2134326942824974
Cundinamarca,Supatá,2586,0.21267005574893952
Huila,Hobo,1800,0.2112564895594284
Caldas,Norcasia,2277,0.21073454366922378
Caldas,Marmato,2187,0.20523676556156006
Huila,La Plata,2860,0.20434742553085478
Chocó,Atrato,2098,0.20204081921100617
Huila,Santa María,2584,0.20175450879526138
Boyacá,Caldas,2659,0.19972689682912825
Antioquia,Olaya,2189,0.19901245800065995
Huila,Baraya,1648,0.1963520042939186
Boyacá,Buenavista,1911,0.19492305186102063
Cundinamarca,Tibacuy,1903,0.19339045387049789
Antioquia,Briceño,2871,0.19249227025266077
Cundinamarca,Topaipí,2800,0.1894460777616501
Cundinamarca,Nariño,1935,0.1884083408649742
Valle del Cauca,Sevilla,1467,0.18739601629181596
Quindío,Córdoba,1943,0.18320107186698914
Antioquia,San José de la Montaña,1275,0.17979149229088134
Cundinamarca,Bituima,1978,0.17926574478869092
Cundinamarca,Pandi,1934,0.17390290558719634
Antioquia,Amalfi,2386,0.17067461159992217
Cundinamarca,Nimaima,1531,0.16521972685718536
Santander,Albania,2476,0.1644496522582649
Cundinamarca,San Bernardo,1553,0.1643000199112892
Cundinamarca,Cabrera,2289,0.1641964963130951
Antioquia,Giraldo,1947,0.16161220034742355
Huila,Paicol,1282,0.15978074538707734
Cauca,Sotará,2008,0.15809988370920106
Cundinamarca,Paime,2418,0.15520533429455757
Quindío,Buenavista,1410,0.1543505083956398
Chocó,Bajo Baudó,1595,0.15331847970447235
Antioquia,Pequé,1928,0.15037560700130462
Cundinamarca,Pulí,2024,0.1488017230448723
Cundinamarca,Gutiérrez,1832,0.14547695316123962
Cundinamarca,Venecia,1953,0.14530740539169312
Chocó,San José del Palmar,1611,0.13887666358995437
Cundinamarca,Jerusalén,1567,0.13725712986087799
Valle del Cauca,Caicedonia,1027,0.12930245051050185
Tolima,Casabianca,1608,0.11948113073158265
Caldas,Marulanda,1162,0.11769928357124329
Antioquia,Abriaquí,1376,0.11686972580177155
Antioquia,Caracolí,1355,0.11555850464582443
Boyacá,Briceño,1417,0.10383597410222167
Cundinamarca,Gachetá,1444,0.10319922070574761
Tolima,Santa Isabel,1542,0.10219294576311111
Cundinamarca,Guataquí,1141,0.09673757061529159
Tolima,Rioblanco,1099,0.0944538055524826
Chocó,Río Quito,1047,0.09439659030246735
Boyacá,Tinjacá,308,0.09422495935746232
Santander,Jesús María,1191,0.09314187539958954
Chocó,Belén de Bajirá,1316,0.09299662681007385
Cundinamarca,Beltrán,948,0.09090012642765045
Chocó,El Cantón del San Pablo,852,0.09009166542339325
Boyacá,Tunungua,1372,0.0877150305776596
Cundinamarca,Villagómez,1131,0.08601272390590896
Huila,Algeciras,741,0.07933499610990524
Chocó,Juradó,965,0.07873344615507126
Santander,Landázuri,644,0.07587161840248108
Antioquia,Turbo,588,0.05983065996694565
Meta,La Uribe,723,0.05511404121017456
Santander,El Peñon,927,0.05318604257154465
Cauca,Puracé,732,0.052814051018714905
Meta,El Calvario,604,0.05059118218913116
Chocó,Nuquí,757,0.05018194426631928
Meta,Acacías,114,0.04974508392336579
Boyacá,La Victoria,700,0.048683261679172515
Antioquia,Yondó,430,0.045204262419700623
Risaralda,Pueblo Rico,590,0.035676447481632234
Boyacá,Ráquira,456,0.03547990312099457
Chocó,El Litoral del San Juan,277,0.0332088057165535
Chocó,Unión Panamericana,319,0.03310712706851959
Chocó,Condotó,369,0.03092252826356888
Cundinamarca,Villapinzón,390,0.03058421087408066
Caquetá,San Vicente del Caguán,268,0.028496634063720702
Huila,Gigante,121,0.024316489629778292
Chocó,Alto Baudó,394,0.02231688788127899
Chocó,Medio Atrato,257,0.017838631499290467
Boyacá,Coper,217,0.01366263462638855
Córdoba,Puerto Libertador,236,0.011947736295700073
Chocó,Cértegui,186,0.01025219917678833
Antioquia,Vegachí,166,0.00983180119562149
Córdoba,Tierralta,136,0.008020736988067627
Cauca,López de Micay,83,0.006353086404800415
Chocó,Riosucio,110,0.005980572712898254
Chocó,El Carmen del Darién,79,0.005291691986083985
Tolima,Murillo,60,0.004247680307388306
Tolima,Dolores,64,0.004153840998649597
Meta,San Luis de Cubarral,89,0.003715798171043396
Antioquia,Cáceres,57,0.003471440299987793
Huila,Colombia,65,0.0032307874784469606
Cundinamarca,Machetá,60,0.002316309006690979
Chocó,Bagadó,35,0.0018923168992996215
Chocó,Nóvita,29,0.0017925882959365844
Tolima,Villarrica,29,0.0012634449081420898
Chocó,Tadó,15,0.0007319442853927612
Meta,Guamal,18,0.0006048585987091065
Córdoba,Montelíbano,11,0.000535826997756958
Santander,Puente Nacional,9,0.0003746167950630188
Chocó,Lloró,3,0.00014689190101623535
Meta,San Juanito,2,9.718479919433594e-05
Chocó,Sipí,1,6.564579772949219e-05
Antioquia,Zaragoza,2,5.267630195617676e-05
